Child_ID	Father_ID	Mother_ID	Consistent_Count	Missing_Count	Mendelian_Inhenritance_Error	Mendelian_Consistency_Rate	Mendelian_Inhenritance_Error_Rate	Child_Gender	DV_Caller
HG00700	HG00698	HG00699	313339	74859	3087	99.024	0.976	female	linear_ref_based
HG00700	HG00698	HG00699	319958	66197	2890	99.105	0.895	female	pangenome_aware
HG01343	HG01341	HG01342	353971	78968	3957	98.894	1.106	female	linear_ref_based
HG01343	HG01341	HG01342	360911	70198	3628	99.005	0.995	female	pangenome_aware
HG01949	HG01947	HG01948	334456	76792	3668	98.915	1.085	female	linear_ref_based
HG01949	HG01947	HG01948	341327	68036	3274	99.05	0.95	female	pangenome_aware
HG02495	HG02493	HG02494	330227	77486	3187	99.044	0.956	female	linear_ref_based
HG02495	HG02493	HG02494	336867	68706	3024	99.11	0.89	female	pangenome_aware
HG02785	HG02783	HG02784	327516	76853	3426	98.965	1.035	female	linear_ref_based
HG02785	HG02783	HG02784	334391	68094	3190	99.055	0.945	female	pangenome_aware
HG03230	HG03228	HG03229	316771	76598	3227	98.992	1.008	female	linear_ref_based
HG03230	HG03228	HG03229	323007	68146	3014	99.076	0.924	female	pangenome_aware
HG03719	HG03725	HG03722	328210	76897	3233	99.025	0.975	female	linear_ref_based
HG03719	HG03725	HG03722	334655	68292	3116	99.077	0.923	female	pangenome_aware
HG03834	HG03833	HG03832	332911	77414	3540	98.948	1.052	female	linear_ref_based
HG03834	HG03833	HG03832	339279	68939	3346	99.023	0.977	female	pangenome_aware
NA18484	NA18486	NA18488	421500	82393	4787	98.877	1.123	female	linear_ref_based
NA18484	NA18486	NA18488	428757	73569	4319	99.003	0.997	female	pangenome_aware
NA19659	NA19658	NA19657	329749	76959	3485	98.954	1.046	female	linear_ref_based
NA19659	NA19658	NA19657	336425	68321	3130	99.078	0.922	female	pangenome_aware
HG01579	HG01577	HG01578	316153	71298	3046	99.046	0.954	male	linear_ref_based
HG01579	HG01577	HG01578	322143	63090	2884	99.113	0.887	male	pangenome_aware
HG01609	HG01608	HG01607	313292	71846	3324	98.95	1.05	male	linear_ref_based
HG01609	HG01608	HG01607	319203	63644	2959	99.082	0.918	male	pangenome_aware
HG02584	HG02582	HG02583	405427	75014	4414	98.923	1.077	male	linear_ref_based
HG02584	HG02582	HG02583	412070	66781	3854	99.073	0.927	male	pangenome_aware
HG02686	HG02684	HG02685	308323	71630	3237	98.961	1.039	male	linear_ref_based
HG02686	HG02684	HG02685	314219	63464	3024	99.047	0.953	male	pangenome_aware
HG02815	HG02813	HG02814	405418	75862	4664	98.863	1.137	male	linear_ref_based
HG02815	HG02813	HG02814	411776	67694	4200	98.99	1.01	male	pangenome_aware
HG02838	HG02836	HG02837	401535	75610	4322	98.935	1.065	male	linear_ref_based
HG02838	HG02836	HG02837	407929	67348	3929	99.046	0.954	male	pangenome_aware
HG03942	HG03941	HG03940	319993	72855	3283	98.984	1.016	male	linear_ref_based
HG03942	HG03941	HG03940	325702	64589	3015	99.083	0.917	male	pangenome_aware
HG04215	HG03679	HG03642	320079	72103	3419	98.943	1.057	male	linear_ref_based
HG04215	HG03679	HG03642	326230	63950	3160	99.041	0.959	male	pangenome_aware
NA10865	NA11891	NA11892	310161	71594	3465	98.895	1.105	male	linear_ref_based
NA10865	NA11891	NA11892	316223	63082	3146	99.015	0.985	male	pangenome_aware
NA12707	NA12716	NA12717	310003	72580	3199	98.979	1.021	male	linear_ref_based
NA12707	NA12716	NA12717	316087	64310	3030	99.051	0.949	male	pangenome_aware
